,account_id,account_id_check,tweet_id,account_username,account_name,tweet_text,tweet_created_at,tweet_language,retweet_count,reply_count,like_count,quote_count,profile_image_url,is_reclaimable,tweet_text_translated_gpt3,tweet_language_gpt3,tweet_emotion_gpt3
0,1037999885319061504,1037999885319061504,1535536060268044288,Fedintra1,Fedintra,"¡Basta ya de parches! Solución al gasóleo profesional para ayudar al impulso económico del sector @elpais_espana 

https://t.co/srsNxNVyVS",2022-06-11 08:15:00+00:00,es,0,0,0,0,https://pbs.twimg.com/profile_images/1038000206485364737/A5PutmqH_normal.jpg,True,"

""Enough with patches! A professional gasoline solution to help the economic impetus of the sector @elpais_espana""",Spanish,Frustration
1,1135640642,1135640642,1535536002445545472,PauloAlei,Paulo Lei,"É uma vergonha, 108 dias de Guerra e a Alemanha ainda não entregou uma única unidade de armas pesadas à Ucrânia. Continuam as promessas de fornecimento de armas pesadas que devem ser cumpridas em um futuro próximo, dizem eles até 22 Junho.",2022-06-11 08:14:46+00:00,pt,0,0,0,0,https://pbs.twimg.com/profile_images/1525937381563674624/lZnhMcMs_normal.jpg,True,"

It's shameful, 108 days of War and the Germany still hasn't delivered one heavy weapons unit to Ukraine. They keep promising to deliver heavy weapons in a future soon, they say up to June 22.",German,Shame
2,239081643,239081643,1535535994145067014,JAB_1951,JUAN ANDRES BUEDO,"Las autoridades ucranianas han señalado este viernes, por primera vez desde el inicio de la guerra el pasado 24 de febrero, que el Ejército ucranio ha perdido aproximadamente 10.000 militares como consecuencia de la invasión rusa de Ucrania.",2022-06-11 08:14:44+00:00,es,0,0,0,0,https://pbs.twimg.com/profile_images/1187297791120412672/ItjdmBqj_normal.jpg,True,"

Ukrainian authorities have announced this Friday for the first time since the start of the war last February, that the Ukrainian Army has lost approximately 10,000 soldiers as a result of the Russian invasion of Ukraine.",Ukraine,Sadness
3,1198559885513891841,1198559885513891841,1535535990038839301,CCastrense,Cáritas Castrense,"Día de #Caridad: Los obispos agradecen “la respuesta solidaria de la sociedad” ante la #pandemia y la guerra en #Ucrania.
La Subcomisión Episcopal de Acción Caritativa y Social difunde el mensaje para el Día del #CorpusChristi 2022.
#CercaDeTi
👇👇👇
https://t.co/eXyq57IAow https://t.co/vFXYKVRflQ",2022-06-11 08:14:43+00:00,es,0,0,1,0,https://pbs.twimg.com/profile_images/1198560147435663360/nUiUEFQ9_normal.jpg,True,,,Happiness
4,918226400229851136,918226400229851136,1535535961265909761,AySusanna,Cactus 🌵,"@albert_viu @menudotiarro Gran frase de experto historiador. Busca e informate, los russos querían ocupar Ucrania, los Americanos ocuparon la actual Israel con los judíos con la misma excusa. Nada es blanco o negro en una guerra, dejando de lado las atrocidades de los nazis.",2022-06-11 08:14:36+00:00,es,0,0,0,0,https://pbs.twimg.com/profile_images/1220995147078545409/qwOKYwHW_normal.jpg,True,"

This tweet by historian Albert Viu says that there is no such thing as a ""black or white"" war, and that atrocities committed by either side in a war are to be left out of consideration.",Spanish,Respect
5,105082141,105082141,1535535906735673344,EFEnoticias,EFE Noticias,"La guerra de Ucrania y el aumento de las restricciones en China para garantizar su política de covid cero, han incrementado las presiones en las cadenas de suministro, lo que hace que el coste del transporte marítimo siga en niveles históricamente altos.
https://t.co/WcExSZiUii",2022-06-11 08:14:23+00:00,es,0,0,0,0,https://pbs.twimg.com/profile_images/1498203184606679045/ptYJXdOE_normal.jpg,True,"

The war in Ukraine and the increase of restrictions in China to guarantee its policy of zero CO2 emissions, have increased pressures on supply chains, which makes maritime transport costs continue at historically high levels.",Chinese,Pressure
6,338318743,338318743,1535535825739554816,oesinho,Jose,RT @SusodeToro1: Publiqué opinión y fui colaborador de cabeceras de prensa y medios que ahora ni sigo ni puedo respetar. ¿Qué le ocurrió al…,2022-06-11 08:14:04+00:00,es,34,0,0,0,https://pbs.twimg.com/profile_images/554559865738493952/VpIE7a2i_normal.jpeg,True,"

I published an opinion and became a collaborator with media heads that I now neither follow nor can respect. What happened to them?",,Respect
7,3331323730,3331323730,1535535802662367234,UnoOsiris,The Useless Man,"@Tranqui26405492 @Subrayado Si Mr facho toooodo es culpa de la invasión en Ucrania, la guerra de palestina y el covid de Luisito pobre que tuvo que aumentarse el sueldo 100 palos.
Ahhh y es culpa del FA tbien todo esto, no tiene nada que ver con robar guita y ser un gobierno de inoperantes nooo",2022-06-11 08:13:58+00:00,es,0,0,0,0,https://pbs.twimg.com/profile_images/1520228743419031552/PYRZ5wCO_normal.jpg,True,"

Translation:

@Tranqui26405492 @Subrayado If Mr. Facho is to blame for the invasion in Ukraine, the war in Palestine and the Covid of Luisito poor that had to be increased by 100 pesos,

And it's also Mr. FA's fault everything this, it has nothing to do with stealing money and being an incompetent government, noooo",Spanish,Anger
8,37622154,37622154,1535535741450731520,_cana_brava,caña brava 💜 💚🔻🇵🇸 🇪🇭,"@europapress El objetivo de la guerra es fortalecer a la OTAN y que le compremos todo a EEUU

Yankees ganan - EU pierde.
Ucrania pone los muertos.",2022-06-11 08:13:44+00:00,es,0,0,0,0,https://pbs.twimg.com/profile_images/856992306964070401/za7UMpys_normal.jpg,True,,English,Happiness
9,1359905965,1359905965,1535535551033614338,KevinjoseDiaz24,William Salvatore,"RT @WalterDossier: 2 Famoso exluchador rusoestadounidense de MMA Jeff Monson explica qué inició la guerra en Ucrania
""2014: Golpe de estado…",2022-06-11 08:12:58+00:00,es,68,0,0,0,https://pbs.twimg.com/profile_images/3578601939/43795500bfb80782efbf2c34cb422133_normal.jpeg,True,"

In 2014, a Russian fighter in MMA, Jeff Monson, explains what started the war in Ukraine.",,Anger
