,account_id,account_id_check,tweet_id,account_username,account_name,tweet_text,tweet_created_at,tweet_language,retweet_count,reply_count,like_count,quote_count,profile_image_url,is_reclaimable,political_party,priority,tweet_text_translated_gpt3,tweet_emotion_gpt3
0,2564286884,2564286884,1534109321893756928,SanJavierPuede,Podemos San Javier,"RT @podemosmurcia: ‼️López Miras e Isabel Franco se han cargado la DG de #Cooperación al Desarrollo en plena guerra de Ucrania.

🤢Este es e…",2022-06-07 09:45:39,es,6,0,0,0,https://pbs.twimg.com/profile_images/1430853372563709953/NPqVOKQt_normal.png,1,podemos,1, https://t.co/N4NfNfNfN4,Happiness
1,2564286884,2564286884,1534109398255247365,SanJavierPuede,Podemos San Javier,"RT @MariaMarinMart: La supresión de la Dir. General de Cooperación, en plena guerra de Ucrania, es un peaje más que se paga a la ultraderec…",2022-06-07 09:45:57,es,16,0,0,0,https://pbs.twimg.com/profile_images/1430853372563709953/NPqVOKQt_normal.png,1,podemos,1,"

The suppression of the Director General of Cooperation, during the Ukrainian war, is a more than paid toll to ultradereliction",Anger
2,2288138575,2288138575,1534165136549847041,PODEMOS,PODEMOS,"RT @MartinaVelardeG: Si el PSOE no ve bien subirle los impuestos a quienes ganan más de 10 millones de euros, ya nos explicará quién entonc…",2022-06-07 13:27:26,es,609,0,0,0,https://pbs.twimg.com/profile_images/1503105171689283584/HpkbJgdo_normal.jpg,1,podemos,1,"

If the PSOE doesn't see fit to raise taxes on those who earn more than 10 million euros, they'll have to explain to us who they think should be paying more",Anger
3,2288138575,2288138575,1534177393165975553,PODEMOS,PODEMOS,"RT @MonederoJC: En casi cualquier momento de la historia, nadie ha dudado de que en momentos de crisis, por ejemplo en guerra como ahora en…",2022-06-07 14:16:08,es,134,0,0,0,https://pbs.twimg.com/profile_images/1503105171689283584/HpkbJgdo_normal.jpg,1,podemos,1,"

In almost any moment of history, no one has doubted that in times of crisis, for example during a war, people will come together to help each other",Unity
4,1461084898639454220,1461084898639454220,1534178296518385667,PodemosCaraban1,Podemos Carabanchel,"RT @MonederoJC: En casi cualquier momento de la historia, nadie ha dudado de que en momentos de crisis, por ejemplo en guerra como ahora en…",2022-06-07 14:19:44,es,134,0,0,0,https://pbs.twimg.com/profile_images/1461108242508136448/pvW9b6nt_normal.jpg,1,podemos,1,"

In almost any moment of history, no one has doubted that in times of crisis, for example during a war, people will come together to help each other",Unity
5,1355840393896730625,1355840393896730625,1534192949810057217,PodemosProvALM,PODEMOS ALMERIA PROVINCIA,"RT @MartinaVelardeG: Si el PSOE no ve bien subirle los impuestos a quienes ganan más de 10 millones de euros, ya nos explicará quién entonc…",2022-06-07 15:17:57,es,609,0,0,0,https://pbs.twimg.com/profile_images/1370451105746980871/cnKeYgj1_normal.jpg,1,podemos,1,"

If the PSOE doesn't see fit to raise taxes on those who earn more than 10 million euros, they will have to explain to us who they think should be paying more",Anger
6,1505268591440150530,1505268591440150530,1534200711621316610,RedPodemosLatam,RED CÍRCULOS PODEMOS LATINOAMERICA,"RT @AutorKant: El PSOE vota con VOX, PP Y Cs para que no salga el #ImpuestoALosRicos Una medida de su socio de gobierno para fortunas de MA…",2022-06-07 15:48:48,es,6,0,0,0,https://pbs.twimg.com/profile_images/1505269073231454214/S1J1sIoQ_normal.jpg,1,podemos,1,"

The PSOE votes with VOX, PP and Cs to prevent the #ImpuestoALosRicos from coming into effect. This measure is from their coalition partner in government for the wealthy.",Anger
7,703183766659829761,703183766659829761,1534206426968690691,podemosguindfbe,Podemos Salamanca-Guindalera-Fuente del berro,"RT @MonederoJC: En casi cualquier momento de la historia, nadie ha dudado de que en momentos de crisis, por ejemplo en guerra como ahora en…",2022-06-07 16:11:31,es,134,0,0,0,https://pbs.twimg.com/profile_images/1517181562613284867/KVeij70P_normal.jpg,1,podemos,1,"

In almost any moment of history, no one has doubted that in times of crisis, for example during a war, people will come together to help each other",Unity
8,144865638,144865638,1534212624061288451,psoesantander,PSOE Santander,RT @Ainoaqui: El Consejo de Ministros ha aprobado hoy destinar más de 5M€ a #Cantabria para sectores agrarios afectados por la guerra de #U…,2022-06-07 16:36:08,es,9,0,0,0,https://pbs.twimg.com/profile_images/1501512474285293571/ley1koe3_normal.jpg,1,psoe,1,"

The Council of Ministers has approved today to allocate more than 5M€ to agriculture sectors affected by the war in #Cantabria",Relief
9,289802491,289802491,1534235276415062019,PSOETorrelavega,PSOE Torrelavega,"RT @Ainoaqui: Esta tarde hemos estado en #Torrelavega con una buena compañera como @mllcastellanos, Secretaria de @JusticiaPSOE. Frente al…",2022-06-07 18:06:09,es,17,0,0,0,https://pbs.twimg.com/profile_images/690092243626127360/4vqOW9xE_normal.jpg,1,psoe,1,"

This afternoon we've been in #Torrelavega with a good friend like @mllcastellanos, Secretary of @JusticiaPSOE. Against the backdrop of the…",Pleasant
