,account_id,account_id_check,tweet_id,account_username,account_name,tweet_text,tweet_created_at,tweet_language,retweet_count,reply_count,like_count,quote_count,profile_image_url,is_reclaimable,tweet_text_translated_gpt3,tweet_emotion_gpt3
0,168768181,168768181,1536477112114225153,Max__California,MaxCalifornia,"RT @AnibalGarzon: La política internacional del gobierno español de Sánchez es de peón del imperio:
-Apoyó Golpe de Guaidó en Venezuela
-No…",2022-06-13 22:34:24,es,97,0,0,0,https://pbs.twimg.com/profile_images/1104262449589510144/IhN1H4vz_normal.jpg,1,,Excitement
1,1311594982269018114,1311594982269018114,1536477169442078724,AlejandroSchoor,Alejandro Schoor,"@FestivalChin La escasez mundial de alimentos es por la guerra de Ucrania, nada tiene que ver México. Entiendo la frustración al gobierno actual, pero esto si no es culpa de ellos.",2022-06-13 22:34:38,es,0,0,0,0,https://pbs.twimg.com/profile_images/1531377347110256640/4U4KB1kg_normal.jpg,1,"

The world's food shortage is not because of the war in Ukraine, it has nothing to do with Mexico. I understand the frustration with the current government, but this is not their fault.",Frustration
2,1487992254379659268,1487992254379659268,1536477195585015809,RoyIrachet9,Hala Meh Lahbara,"RT @Carloslopezjone: Critica AMLO a EU por preferir autos eléctricos en lugar del petróleo 
.
Increíble que el Presidente ⁦@lopezobrador_⁩…",2022-06-13 22:34:44,es,83,0,0,0,https://pbs.twimg.com/profile_images/1494445045151252501/mYH9-SAl_normal.jpg,1,"

The president @lopezobrador_ criticizes the EU for preferring electric cars over oil.",Anger
3,2204239237,2204239237,1536477264912826375,sofjtelace,Jesús,"RT @rubengluengas: El ex Coronel Richard Black de EU afirma que Ucrania no tiene nada que ver con la decisión entre la guerra o la paz, sin…",2022-06-13 22:35:00,es,192,0,0,0,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,1,"

The ex Colonel Richard Black of EU says that Ukraine has nothing to do with the decision between war or peace, without…",Anger
4,1511798956283637760,1511798956283637760,1536477267647414273,Francis81041111,indiodeutsch,"RT @elcolombiano: Militares colombianos, con más de 10 años de experiencia, viajarán a un país europeo cercano a Ucrania, en donde comparti…",2022-06-13 22:35:01,es,12,0,0,0,https://pbs.twimg.com/profile_images/1526601231233327104/e0-xLeJD_normal.jpg,1,"

Colombian soldiers, with more than 10 years of experience, will travel to a European country close to Ukraine, where they will share their know-how with the local milita…",Pride
5,1416699744,1416699744,1536477271640485894,electron52,Giovanni,"RT @jcy126kerubin: En las ciudades de Ucrania aparecen folletos llamando a deponer las armas

Dicen: 
""Es hora de irse a casa, esta no es t…",2022-06-13 22:35:02,es,2,0,0,0,https://pbs.twimg.com/profile_images/1285725029867692032/jsAewjpO_normal.jpg,1,,Excitement
6,1279945819744059393,1279945819744059393,1536477342813638657,ClaudiaQC7,Pequini,"RT @AnibalGarzon: La política internacional del gobierno español de Sánchez es de peón del imperio:
-Apoyó Golpe de Guaidó en Venezuela
-No…",2022-06-13 22:35:19,es,97,0,0,0,https://pbs.twimg.com/profile_images/1512629967384989698/RO0bjcu__normal.jpg,1,,Happiness
7,243115725,243115725,1536477381124407297,sergiodaroca,Revolution Now,"RT @AnibalGarzon: La política internacional del gobierno español de Sánchez es de peón del imperio:
-Apoyó Golpe de Guaidó en Venezuela
-No…",2022-06-13 22:35:28,es,97,0,0,0,https://pbs.twimg.com/profile_images/1226248843/funlabontherun72_normal.jpg,1,,Happiness
8,708987517752745985,708987517752745985,1536477397905772548,sohi1962,Громов Сергей,"RT @DOGDEGA: 🇺🇦💥🇷🇺 Ucrania pierde 20 mil soldados al mes y  últimamente, entre 600 y 1000 al día, en su guerra contra Rusia, es una catástr…",2022-06-13 22:35:32,es,271,0,0,0,https://pbs.twimg.com/profile_images/1498658554491944965/-cMSFRHY_normal.jpg,1,"

Ukraine loses 20,000 soldiers a month and lately, between 600 and 1000 a day, in its war against Russia, it is a catastrophe",Catastrophe
9,1080501189450625029,1080501189450625029,1536478279036723201,Marcosrb15,Marcosrb,RT @lordivan22: Rússia 🇷🇺/ Alemanha 🇩🇪: Alemanha pagou à Rússia mais de 12 bilhões de euros por combustíveis fósseis nos primeiros 100 dias…,2022-06-13 22:39:02,pt,486,0,0,0,https://pbs.twimg.com/profile_images/1080506200033316865/Rtf8FvdN_normal.jpg,1,"

Russia paid Russia more than 12 billion euros for fossil fuels in the first 100 days of this year",Anger
