,account_id,account_id_check,tweet_id,account_username,account_name,tweet_text,tweet_created_at,tweet_language,retweet_count,reply_count,like_count,quote_count,profile_image_url,is_reclaimable,political_party,priority
0,469758528,469758528,1534155804420411393,monitopelota,Jorge Veliz,"RT @LUJANCORRO: #Ucrania | ""Ya nos toca salir, papá, mamá, los amo"" 🥲

“La guerra es un lugar donde jóvenes que no se conocen y no se odian…",2022-06-07 12:50:21,es,55081,0,0,0,https://pbs.twimg.com/profile_images/1522005578004017152/iCEupBNE_normal.jpg,1,,2
1,1473432583857917960,1473432583857917960,1534430337874501633,RBinnat,Rauf Binnat,RT @DmytroKuleba: Putin has just launched a full-scale invasion of Ukraine. Peaceful Ukrainian cities are under strikes. This is a war of a…,2022-06-08 07:01:15,en,37495,0,0,0,https://pbs.twimg.com/profile_images/1516777986963525644/u4zQ4p2u_normal.jpg,1,,2
2,2342571372,2342571372,1534570250880004097,milagrogd47,milagro gonzález,"RT @beatrizbecerrab: La escritora ucraniana #IrynaTsvila, autora de “Voces de la guerra. Historias de veteranos”, ha muerto junto a su pare…",2022-06-08 16:17:13,es,15275,0,0,0,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,1,,2
3,951871286321516544,951871286321516544,1534960486126882816,AsimovIsaac2,asimov2007,RT @tresmasciento: EXCLUSIVA🔴: El Gobierno de España decide endurecer las sanciones a Putin y lo da de alta de autónomo.,2022-06-09 18:07:52,es,14331,0,0,0,https://pbs.twimg.com/profile_images/1354510910241574919/7INPVvJO_normal.jpg,1,,2
4,1250844681530998793,1250844681530998793,1535017315506573312,GeorgeMigliacc1,George Migs,RT @OccupyDemocrats: BREAKING: Legendary hacker group Anonymous hacks into unsecured printers all across Russia and begins mass printing in…,2022-06-09 21:53:41,en,24102,0,0,0,https://pbs.twimg.com/profile_images/1468597108211081217/VZswj6a2_normal.jpg,1,,2
5,552395809,552395809,1535062079190626304,Zamova9,Zaida Moreno,"RT @EmmaRincon: En los años 90 Ucrania era el 3er país con más armas nucleares en el mundo, solo por detrás de Rusia y EEUU.

Ucrania entre…",2022-06-10 00:51:34,es,13906,0,0,0,https://pbs.twimg.com/profile_images/958413693414461440/6xXgN7lD_normal.jpg,1,,2
6,3924286581,3924286581,1536045260689883140,Margari62004809,Margarita Rodriguez,"RT @Pontifex_es: Con dolor en el corazón, uno mi voz a la de la gente común, que implora el fin de la guerra. En el nombre de Dios, escuche…",2022-06-12 17:58:23,es,12389,0,0,0,https://pbs.twimg.com/profile_images/659565650029977600/IQLVfk10_normal.jpg,1,,2
7,1284158246287298562,1284158246287298562,1536080435926781952,MiguelaruM,Miguel-miguelaru,RT @VictorChoraMx: Les comparto una explicación geopolítica al conflicto entre #Rusia y #Ucrania. Abro hilo: 1. Al final de la Segunda Guer…,2022-06-12 20:18:09,es,16372,0,0,0,https://pbs.twimg.com/profile_images/1284159993537757190/LDQvDxBh_normal.jpg,1,,2
8,128103516,128103516,1536192438829817856,edixonhc,Venezolano,"RT @Pontifex_es: Con dolor en el corazón, uno mi voz a la de la gente común, que implora el fin de la guerra. En el nombre de Dios, escuche…",2022-06-13 03:43:13,es,12389,0,0,0,https://pbs.twimg.com/profile_images/706449513897181184/bbe81CIL_normal.jpg,1,,2
9,1283048890229497858,1283048890229497858,1536328649271652352,Sebasti33469517,Ukrainian Pepe🇺🇦,"RT @McFaul: Putin has now made it crystal clear. His invasion of Ukraine was never about NATO expansion, and always about Russian expansion.",2022-06-13 12:44:28,en,13008,0,0,0,https://pbs.twimg.com/profile_images/1502738506925461510/CREqVBnT_normal.jpg,1,,2
